"BRND_CD","STO_LOC_ID","SHPG_TRXN_ID","SHPG_TRXN_LN_DT","TRXN_BGN_TM","SRC_RGST_NBR","ITM_SKU_NUM","SRC_SLS_PRSN_NUM","SRC_SLS_CSHR_NUM","FP_SLS_AMT","FP_SLS_QTY","CLR_SLS_AMT","CLR_SLS_QTY","MD_SLS_AMT","MD_SLS_QTY","GVWY_SLS_AMT","GVWY_SLS_QTY","NET_SALES","NET_SLS_QTY","RETURN_SALES","RETURN_QTY","ANGEL_TRXN","WT_UNT_CST_AMT","CUR_TKT_RTL_UNT_AMT"
"VSS","1013577"," 000000003167870200.","2017-08-02","18:12:31.000000","3","000000000023558953","0","103001968"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000002.030"," 0000010.50"
"VSS","1016515"," 000000003167973784.","2017-08-02","19:53:36.000000","2","000000000023533044","0","101851472"," 0000000.00","0"," 0000000.00","0","-0000015.00","-1"," 0000000.00","0","-000000015.00","-1"," 0000015.00","1","N"," 000007.280"," 0000029.95"
"VSS","1013606"," 000000003167594379.","2017-08-02","13:35:32.000000","3","000000000023367793","103101435","101917060"," 0000000.00","0"," 0000000.00","0"," 0000005.23","1"," 0000000.00","0"," 000000005.23","1"," 0000000.00","0","Y"," 000001.320"," 0000010.50"
"VSS","1013573"," 000000003167590069.","2017-08-02","13:50:53.000000","4","000000000023563321","101895255","103112807"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","Y"," 000002.140"," 0000010.50"
"VSS","1016427"," 000000003167973199.","2017-08-02","20:41:42.000000","2","000000000023544373","103028074","103096759"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 0000000.00","1"," 000000000.00","1"," 0000000.00","0","N"," 000002.070"," 0000010.50"
"VSS","1013617"," 000000003167871803.","2017-08-02","15:47:47.000000","3","000000000023559093","101769447","103023838"," 0000035.95","1"," 0000000.00","0"," 0000000.00","0"," 0000000.00","0"," 000000035.95","1"," 0000000.00","0","N"," 000007.020"," 0000035.95"
"VSS","1016451"," 000000003167875621.","2017-08-02","16:41:04.000000","5","000000000023562372","0","101835305"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.840"," 0000010.50"
"VSS","1016513"," 000000003167876779.","2017-08-02","18:49:55.000000","5","000000000023551745","101429636","101883662"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","Y"," 000002.320"," 0000010.50"
"VSS","1013580"," 000000003167868662.","2017-08-02","18:59:13.000000","3","000000000023560316","101862131","103010818"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.790"," 0000010.50"
"VSS","1016431"," 000000003167596629.","2017-08-02","15:04:08.000000","2","000000000023511960","101193443","101893108"," 0000000.00","0"," 0000000.00","0"," 0000005.60","1"," 0000000.00","0"," 000000005.60","1"," 0000000.00","0","N"," 000001.730"," 0000010.50"
